dQP,PRED_MODE,PU_SIZE,BITS,DISTORTION,BEST_COST,BEST_BINS,SIDE_INFO,SAD,MSE,COST_2Nx2N,COST_MSM,COST_2NxN,COST_Nx2N,RATIO_2Nx2N-MSM,REL_RATIO_2Nx2N-MSM,RATIO_BEST_2Nx2N,RATIO_BEST-MSM,REL_RATIO_BEST-MSM,TU_DEPTH,CBF,NON-Z-COEFF,REF_IDX,MV_MOD_INT,MV_MOD_FRAC,PREDMV_MOD_INT,PREDMV_MOD_FRAC,MVD_MOD_INT,MVD_MOD_FRAC,MVP_IDX,INTER_DIR,FME,COLOC_SPLIT,UP_SPLIT,LEFT_SPLIT,UPLEFT_SPLIT,UPRIGHT_SPLIT,CTX_SPLIT,COLOC_DEPTH,UP_DEPTH,LEFT_DEPTH,UPLEFT_DEPTH,UPRIGHT_DEPTH,CTX_DEPTH,AVG_NEIGH_DEPTH,SPLIT
2,3,0,508,112267,138120,641,0.187178,27605,76.6291,154900,153077,152354,152551,1.01191,0.011907,0.891674,0.902292,0.097708,1,1,6,-1,0,0,0,0,0,0,-1,0,0,2,1,0,0,1,4,1,1,0,0,1,0.5,1.39509,1
3,2,7,80,36459,41890.3,1,0.129655,9769,13.1716,49482.2,44011.6,44347,42704.9,1.1243,0.124299,0.846573,0.9518,0.0482,1,1,55,0,33.1361,0.790569,33.1361,0.790569,0,0,-1,3,2,1,0,1,0,0,2,0.5,0,1,0,0,0.25,0.491228,1
3,2,1,686,59669,106242,1,0.438369,12315,15.9294,114872,106252,106174,108617,1.08113,0.081133,0.924875,0.999913,8.7e-05,2,1,15,0,3.60555,0.25,26.4764,0.5,28.1603,0.559017,0,3,2,2,1,1,1,1,6,2.5,3,2,2,3,2.08333,1.75148,1
4,1,7,11,59447,61357,1,0.031129,10633,12.9036,64678.6,62736.5,63946.7,61435.3,1.03096,0.030956,0.948644,0.97801,0.02199,0,0,4,1,16.0312,0,16.0312,0,0,0,-1,3,0,1,0,0,0,0,1,0.5,0,0,0,0,0.083333,0.166667,1
3,2,0,110,32386,39854,1,0.187385,7720,6.02197,40044,39854,40699.1,40609.2,1.00477,0.004767,0.995256,1,0,1,1,1,0,22.0907,0.5,22.0907,0.5,0,0,-1,3,1,1,1,0,1,1,4,1,1,0,1,1,0.666667,1.3451,1
4,2,4,130,54741,77313.4,1,0.29196,13541,18.0691,88606.7,85669.6,81419.4,93349.4,1.03428,0.034284,0.872545,0.90246,0.09754,2,1,3,-1,0,0,0,0,0,0,-1,2,0,2,1,1,1,1,6,2,1,2,1,1,1.16667,1.41375,1
2,3,0,1194,66228,126993,1322,0.478489,45956,255.331,140728,156854,145254,144782,0.89719,0.10281,0.902399,0.809624,0.190376,2,1,1,-1,0,0,0,0,0,0,-1,0,0,2,1,1,1,1,6,2,2,3,1,2,1.66667,1.9067,1
4,2,5,99,50220,67409.8,1,0.255004,10739,11.7468,71704.7,72548.5,68291.2,74425.9,0.98837,0.01163,0.940102,0.929169,0.070831,1,1,3,0,18,0,18,0,0,0,-1,3,0,2,0,1,1,0,4,1,0,1,1,0,0.5,0.915064,1
1,2,2,138,32508,34967.2,1,0.070329,8938,7.87158,36071.3,39740.9,35345.8,34913.7,0.907662,0.092338,0.969391,0.879879,0.120121,1,1,7,0,127.142,0.353553,125.144,0.25,1,0.25,0,3,2,1,1,1,1,1,5,1,2,1,1,2,1.4,1.0875,1
3,1,4,43,33470,36389.3,1,0.080225,8532,7.13428,37030.4,38865.6,36414.5,37763.4,0.952782,0.047218,0.982688,0.936287,0.063713,0,0,1,0,42.107,0.75,42.107,0.75,0,0,1,3,2,1,1,1,0,1,4,0.5,1,1,0,1,0.583333,0.715774,1
